sku,name,old_url,old_slug,http_status,observed_canonical,canonical_status,existing_redirect_status,migration_status,new_slug,new_url,collision_status
РТ-00001514,"LAVR ОЧИСТИТЕЛЬ КОЛЕСНЫХ ДИСКОВ (500 МЛ, КОД ТН ВЭД: 3402500000)",https://autohimiki.kz/product/onec-4bf5fe7b-8fd9-40f7-9cb7-c1ea6f110e1c,onec-4bf5fe7b-8fd9-40f7-9cb7-c1ea6f110e1c,200,https://autohimiki.kz/product/onec-4bf5fe7b-8fd9-40f7-9cb7-c1ea6f110e1c,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",lavr-ocistitel-kolesnyx-diskov-500-ml-kod-tn-ved-3402500000,https://autohimiki.kz/product/lavr-ocistitel-kolesnyx-diskov-500-ml-kod-tn-ved-3402500000,"public_set:none; drafts/history_UNKNOWN"
РТ-00001515,"Держатель нескользящий NONSLIP HOLDER (для мелового ароматизатора SPIRIT REFILL)арт X.д",https://autohimiki.kz/product/onec-07a58f5d-d6d5-4819-aa8f-360593a9a43f,onec-07a58f5d-d6d5-4819-aa8f-360593a9a43f,200,https://autohimiki.kz/product/onec-07a58f5d-d6d5-4819-aa8f-360593a9a43f,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",derzatel-neskolziashhii-nonslip-holder-dlia-melovogo-aromatizatora-spirit-refillart-xd,https://autohimiki.kz/product/derzatel-neskolziashhii-nonslip-holder-dlia-melovogo-aromatizatora-spirit-refillart-xd,"public_set:none; drafts/history_UNKNOWN"
РТ-00001516,"Shine Systems FiberShampoo - шампунь для стирки микрофибры, 750 мл",https://autohimiki.kz/product/onec-848c87ee-7307-4022-a8cc-c4e360b3898b,onec-848c87ee-7307-4022-a8cc-c4e360b3898b,200,https://autohimiki.kz/product/onec-848c87ee-7307-4022-a8cc-c4e360b3898b,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",shine-systems-fibershampoo-sampun-dlia-stirki-mikrofibry-750-ml,https://autohimiki.kz/product/shine-systems-fibershampoo-sampun-dlia-stirki-mikrofibry-750-ml,"public_set:none; drafts/history_UNKNOWN"
РТ-00001517,"Очиститель двигателя ""VIRline 500 мл",https://autohimiki.kz/product/onec-e9f3c766-e1d3-4857-bf61-47b8fb58c55d,onec-e9f3c766-e1d3-4857-bf61-47b8fb58c55d,200,https://autohimiki.kz/product/onec-e9f3c766-e1d3-4857-bf61-47b8fb58c55d,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",ocistitel-dvigatelia-virline-500-ml,https://autohimiki.kz/product/ocistitel-dvigatelia-virline-500-ml,"public_set:none; drafts/history_UNKNOWN"
РТ-00001518,"Очиститель-кондиционер кожи ""VIRline"" (500мл)",https://autohimiki.kz/product/onec-dd0a7721-ea77-42bb-989f-dd70d6b05c60,onec-dd0a7721-ea77-42bb-989f-dd70d6b05c60,200,https://autohimiki.kz/product/onec-dd0a7721-ea77-42bb-989f-dd70d6b05c60,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",ocistitel-kondicioner-kozi-virline-500ml,https://autohimiki.kz/product/ocistitel-kondicioner-kozi-virline-500ml,"public_set:none; drafts/history_UNKNOWN"
РТ-00001519,"Универсальный очиститель ""VIRline"" 500 мл",https://autohimiki.kz/product/onec-1f824f16-e1ef-47d2-a31d-b9ca2a29df63,onec-1f824f16-e1ef-47d2-a31d-b9ca2a29df63,200,https://autohimiki.kz/product/onec-1f824f16-e1ef-47d2-a31d-b9ca2a29df63,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",universalnyi-ocistitel-virline-500-ml,https://autohimiki.kz/product/universalnyi-ocistitel-virline-500-ml,"public_set:none; drafts/history_UNKNOWN"
РТ-00001520,"Чистящее средство для стекол и зеркал VIRline, 500мл",https://autohimiki.kz/product/onec-a1b1d5a3-702b-40c2-9bfe-31c7f0a927fd,onec-a1b1d5a3-702b-40c2-9bfe-31c7f0a927fd,200,https://autohimiki.kz/product/onec-a1b1d5a3-702b-40c2-9bfe-31c7f0a927fd,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",cistiashhee-sredstvo-dlia-stekol-i-zerkal-virline-500ml,https://autohimiki.kz/product/cistiashhee-sredstvo-dlia-stekol-i-zerkal-virline-500ml,"public_set:none; drafts/history_UNKNOWN"
РТ-00001521,"Полироль для пластиковых поверхностей ""VIRline"" (500мл)",https://autohimiki.kz/product/onec-259cf413-abc8-464f-9728-6173767a4b4d,onec-259cf413-abc8-464f-9728-6173767a4b4d,200,https://autohimiki.kz/product/onec-259cf413-abc8-464f-9728-6173767a4b4d,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",polirol-dlia-plastikovyx-poverxnostei-virline-500ml,https://autohimiki.kz/product/polirol-dlia-plastikovyx-poverxnostei-virline-500ml,"public_set:none; drafts/history_UNKNOWN"
РТ-00001522,"Полироль чернитель шин ""VIRline"" 500мл",https://autohimiki.kz/product/onec-f07278c4-85a1-4aba-9d8e-962afc648d53,onec-f07278c4-85a1-4aba-9d8e-962afc648d53,200,https://autohimiki.kz/product/onec-f07278c4-85a1-4aba-9d8e-962afc648d53,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",polirol-cernitel-sin-virline-500ml,https://autohimiki.kz/product/polirol-cernitel-sin-virline-500ml,"public_set:none; drafts/history_UNKNOWN"
РТ-00001523,"Shine Systems Tire&Wheel Cleaner очиститель резины и колес, 900мл",https://autohimiki.kz/product/onec-74386c45-bd04-4006-971a-896b61426c95,onec-74386c45-bd04-4006-971a-896b61426c95,200,https://autohimiki.kz/product/onec-74386c45-bd04-4006-971a-896b61426c95,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",shine-systems-tirewheel-cleaner-ocistitel-reziny-i-koles-900ml,https://autohimiki.kz/product/shine-systems-tirewheel-cleaner-ocistitel-reziny-i-koles-900ml,"public_set:none; drafts/history_UNKNOWN"
